source_row_id,order_id,order_line_id,store_id,product_id,sale_date,quantity,unit_price,unit_cost,discount_amount,order_status,updated_at
R001,O3001,1,S001,P001,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R002,O3002,1,S002,P002,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R003,O3003,1,S003,P003,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R004,O3004,1,S004,P004,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R005,O3005,1,S001,P005,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R006,O3006,1,S002,P006,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R007,O3007,1,S003,P007,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R008,O3008,1,S004,P008,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R009,O3009,1,S001,P001,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R010,O3010,1,S002,P002,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R011,O3011,1,S003,P003,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R012,O3012,1,S004,P004,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R013,O3013,1,S001,P005,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R014,O3014,1,S002,P006,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R015,O3015,1,S003,P007,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R016,O3016,1,S004,P008,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R017,O3017,1,S001,P001,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R018,O3018,1,S002,P002,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R019,O3019,1,S003,P003,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R020,O3020,1,S004,P004,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R021,O3021,1,S001,P005,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R022,O3022,1,S002,P006,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R023,O3901,1,S001,P001,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T12:00:00
R024,O3902,1,S002,P002,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T12:00:00
R025,O1001,1,S001,P001,2026-04-01,3,12.00,6.00,1.00,COMPLETED,2026-04-03T10:00:00
R026,O2002,1,S002,P002,2026-04-02,1,10.00,6.00,0.00,CANCELLED,2026-04-03T10:00:00
R027,O2003,1,S003,P003,2026-04-02,2,10.00,6.00,0.00,COMPLETED,2026-04-03T10:00:00
R028,O1004,1,S004,P004,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-03T10:00:00
R029,O1001,1,S001,P001,2026-04-01,2,12.00,6.00,1.00,COMPLETED,2026-04-02T10:00:00
R030,O2004,1,S004,P004,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R031,O3001,1,S001,P001,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R032,O1014,1,S002,P006,2026-04-01,1,9.00,6.00,0.00,COMPLETED,2026-04-01T08:00:00
R033,O3002,1,S002,P002,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R034,O2005,1,S001,P005,2026-04-02,1,11.00,6.00,0.00,COMPLETED,2026-04-03T10:00:00
R035,O2005,1,S001,P005,2026-04-02,1,12.00,6.00,0.00,COMPLETED,2026-04-03T10:00:00
R036,O2006,1,S002,P006,2026-04-02,1,13.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R037,X3001,1,,P001,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R038,X3002,one,S001,P001,2026-04-03,1,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R039,X3003,1,S001,P001,2026-04-03,0,10.00,6.00,0.00,COMPLETED,2026-04-03T09:00:00
R040,X3004,1,S001,P001,2026-04-03,1,10.00,6.00,0.00,COMPLETED,yesterday
