source_row_id,order_id,order_line_id,store_id,product_id,sale_date,quantity,unit_price,unit_cost,discount_amount,order_status,updated_at
R001,O1001,1,S001,P001,2026-04-01,2,10.00,6.00,1.00,COMPLETED,2026-04-01T09:00:00
R002,O1001,2,S001,P002,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R003,O1003,1,S003,P003,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R004,O1004,1,S004,P004,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R005,O1005,1,S001,P005,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R006,O1006,1,S002,P006,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R007,O1007,1,S003,P007,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R008,O1008,1,S004,P008,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R009,O1009,1,S001,P001,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R010,O1010,1,S002,P002,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R011,O1011,1,S003,P003,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R012,O1012,1,S004,P004,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R013,O1013,1,S001,P005,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R014,O1014,1,S002,P006,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R015,O1015,1,S003,P007,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R016,O1016,1,S004,P008,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R017,O1017,1,S001,P001,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R018,O1018,1,S002,P002,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R019,O1019,1,S003,P003,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R020,O1020,1,S004,P004,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R021,O1021,1,S001,P005,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R022,O1022,1,S002,P006,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R023,O1023,1,S003,P007,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R024,O1024,1,S004,P008,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R025,O1025,1,S001,P001,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R026,O1026,1,S002,P002,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R027,O1027,1,S003,P003,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R028,O1028,1,S004,P004,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R029,O1029,1,S001,P005,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R030,O1030,1,S002,P006,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R031,O1031,1,S003,P007,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R032,O1032,1,S004,P008,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R033,O1033,1,S001,P001,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R034,O1034,1,S002,P002,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R035,O1035,1,S003,P003,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R036,O1036,1,S004,P004,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R037,O1037,1,S001,P005,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R038,O1038,1,S002,P006,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R039,O1039,1,S003,P007,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R040,O1040,1,S004,P008,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R041,O1041,1,S001,P009,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R042,O1042,1,S002,P010,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R043,O1043,1,S005,P003,2026-04-01,1,10.00,6.00,0.00,CANCELLED,2026-04-01T09:00:00
R044,O1044,1,S005,P004,2026-04-01,1,10.00,6.00,0.00,CANCELLED,2026-04-01T09:00:00
R045,O1003,1,S003,P003,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R046,O1004,1,S004,P004,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R047,O1043,1,S005,P003,2026-04-01,1,10.00,6.00,0.00,CANCELLED,2026-04-01T09:00:00
R048,O1001,1,S001,P001,2026-04-01,2,10.00,6.00,1.00,COMPLETED,2026-04-01T09:00:00
R049,O1005,1,S001,P005,2026-04-01,1,9.00,6.00,0.00,COMPLETED,2026-04-01T08:00:00
R050,O1006,1,S002,P006,2026-04-01,1,9.00,6.00,0.00,COMPLETED,2026-04-01T08:00:00
R051,O1090,1,S001,P001,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R052,O1090,1,S001,P001,2026-04-01,1,11.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R053,,1,S001,P001,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R054,X1002,1,S001,   ,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R055,X1003,1,S001,P001,2026-04-01,two,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R056,X1004,1,S001,P001,2026-02-30,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R057,X1005,1,S001,P999,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R058,X1006,1,S999,P001,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R059,X1007,1,S001,P001,2026-04-01,1,-1.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R060,   ,1,S001,P999,2026-04-01,0,10.00,-1.00,0.00,RETURNED,2026-04-01T09:00:00
